,date,site,avg_daqi,code
0,2019-04-18,Eastbourne - Holly Place FIDAS,4.608695652173913,EF1
1,2019-04-18,Brent Cross 1,0.0,NL1
2,2019-04-18,Brent Cross 3,0.0,NL3
3,2019-04-18,Marylebone Road Aethalometer,0.0,MS3
4,2019-04-18,Marylebone Road Aethalometer,0.0,MR3
5,2019-04-18,Southwark - Tower Bridge Road,0.0,SK8
6,2019-04-18,Eastleigh - The Point,1.434782608695652,ES3
7,2019-04-18,Kings Cross - Tapestry Building,0.0,KX8
8,2019-04-18,Chilbolton Aethalometer 7wl,0.0,C7M
9,2019-04-18,Honor Oak Park LGR Multigas,0.0,HPZ
10,2019-04-18,Chepstow A48 AURN,5.739130434782608,CZ0
11,2019-04-18,Westminster - Duke Street (Grosvenor),0.0,GV2
12,2019-04-18,Ballymena Aethalometer 7wl,0.0,B7M
13,2019-04-18,Birmingham Ladywood Aethalometer 7wl,0.0,H7L
14,2019-04-18,EGA School - Indoor,0.0,EGI
15,2019-04-18,EGA School - Outdoor,0.0,EGO
16,2019-04-18,Honor Oak Park Aethalometer,0.0,HP3
17,2019-04-18,Lewisham - Deptford,0.0,LW5
18,2019-04-18,Strabane Springhill Aethalometer 7wl,0.0,S7N
19,2019-04-18,Belfast Centre Aethalometer 7wl,0.0,B7E
20,2019-04-18,Dunmurry - Kilmakee Aethalometer 7wl ,0.0,D7M
21,2019-04-18,Detling Aethalometer 7wl ,0.0,Z7M
22,2019-04-18,North Kensington Aethalometer 7wl,0.0,N7K
23,2019-04-18,Cardiff Aethalometer 7wl,0.0,C7F
24,2019-04-18,Glasgow Townhead Aethalometer 7wl,0.0,G7W
25,2019-04-18,Glasgow High Street Aethalometer 7wl,0.0,G7L
26,2019-04-18,Birmingham Keeley Street Aethalometer 7wl,0.0,H7A
27,2019-04-18,Auchencorth Moss Aethalometer 7wl,0.0,A7M
28,2019-04-18,Dartford - St Clements 2,5.565217391304348,ZR4
29,2019-04-18,Chichester - Westhampnett Road,1.6956521739130435,CI5
30,2019-04-18,Rother - Rye Harbour,2.4347826086956523,RY1
31,2019-04-18,City of London - Walbrook Wharf,4.565217391304348,CT6
32,2019-04-18,Greenwich - Eltham,4.913043478260869,GR4
33,2019-04-18,Sutton - Wallington,4.304347826086956,ST4
34,2019-04-18,Tower Hamlets - Mile End Road,1.8695652173913044,TH2
35,2019-04-18,Thurrock - London Road (Grays),4.565217391304348,TK1
36,2019-04-18,Eastbourne - Holly Place,4.391304347826087,EB3
37,2019-04-18,City of London - Upper Thames Street,5.173913043478261,CT8
38,2019-04-18,Leicester - Abbey Lane,4.782608695652174,LC1
39,2019-04-18,Sheffiled Tinsley,1.0,SF2
40,2019-04-18,Wandsworth - Wandsworth Town Hall,2.4347826086956523,WA2
41,2019-04-18,Chatham Roadside - A2,4.782608695652174,ZC1
42,2019-04-18,Barking and Dagenham - Rush Green,1.0,BG1
43,2019-04-18,Hastings - Bulverhythe,3.739130434782609,HT1
44,2019-04-18,Havering - Rainham,4.086956521739131,HV1
45,2019-04-18,Havering - Romford,3.9565217391304346,HV3
