,date,site,code,daily_air_quality_index
5175,2020-08-03 15:00:00,Eastbourne - Holly Place FIDAS,EF1,9.9575
13959,2020-08-03 15:00:00,Brent Cross 1,NL1,0.0
22743,2020-08-03 15:00:00,Brent Cross 3,NL3,0.0
36704,2020-08-03 15:00:00,Marylebone Road Aethalometer,MS3,0.0
36705,2020-08-03 15:00:00,Marylebone Road Aethalometer,MR3,0.0
49097,2020-08-03 15:00:00,Southwark - Tower Bridge Road,SK8,35.7323697426534
57881,2020-08-03 15:00:00,Eastleigh - The Point,ES3,14.6110014564187
67640,2020-08-03 15:00:00,Brent Cross 4,NL4,0.0
76425,2020-08-03 15:00:00,Chilbolton Aethalometer 7wl,C7M,0.0
85209,2020-08-03 15:00:00,Lewes - Newhaven,LS7,67.55
93993,2020-08-03 15:00:00,Honor Oak Park LGR Multigas,HPZ,0.0
99850,2020-08-03 15:00:00,Marylebone Road ACSM,MS5,0.0
108634,2020-08-03 15:00:00,Chepstow A48 AURN,CZ0,92.6816589689394
117395,2020-08-03 15:00:00,Southwark - A2 Old Kent Road FIDAS,SK9,0.0
126179,2020-08-03 15:00:00,Southwark - Lower Road,SKA,0.0
134963,2020-08-03 15:00:00,Bexley - Slade Green Fidas,BQ9,0.0
143747,2020-08-03 15:00:00,Waterloo Place (The Crown Estate),CE2,0.0
152531,2020-08-03 15:00:00,Greenwich - Tunnel Avenue,TL4,0.0
161315,2020-08-03 15:00:00,Newham - Britannia Gate,TL6,0.0
170099,2020-08-03 15:00:00,Sutton - Beddington Village,ST9,0.0
178883,2020-08-03 15:00:00,Reigate and Banstead - Earlswood Depot,RG8,14.7077494221954
187667,2020-08-03 15:00:00,Westminster - Duke Street (Grosvenor),GV2,21.5663810293805
196451,2020-08-03 15:00:00,Ballymena Aethalometer 7wl,B7M,0.0
205236,2020-08-03 15:00:00,Birmingham Ladywood Aethalometer 7wl,H7L,0.0
219845,2020-08-03 15:00:00,Honor Oak Park Aethalometer,HP3,0.0
228629,2020-08-03 15:00:00,Lewisham - Deptford,LW5,10.1778476093837
237413,2020-08-03 15:00:00,Strabane Springhill Aethalometer 7wl,S7N,0.0
246197,2020-08-03 15:00:00,Brent Cross 5,NL5,10.1075
254981,2020-08-03 15:00:00,Thurrock - Dock Road Tilbury,TK9,0.0
263765,2020-08-03 15:00:00,Westminster - Elizabeth Bridge,WMD,28.1872065656751
272550,2020-08-03 15:00:00,Belfast Centre Aethalometer 7wl,B7E,0.0
281335,2020-08-03 15:00:00,Dunmurry - Kilmakee Aethalometer 7wl ,D7M,0.0
290120,2020-08-03 15:00:00,Detling Aethalometer 7wl ,Z7M,0.0
298905,2020-08-03 15:00:00,North Kensington Aethalometer 7wl,N7K,0.0
307690,2020-08-03 15:00:00,Cardiff Aethalometer 7wl,C7F,0.0
316475,2020-08-03 15:00:00,Glasgow Townhead Aethalometer 7wl,G7W,0.0
325260,2020-08-03 15:00:00,Glasgow High Street Aethalometer 7wl,G7L,0.0
334044,2020-08-03 15:00:00,Birmingham Keeley Street Aethalometer 7wl,H7A,0.0
342829,2020-08-03 15:00:00,Auchencorth Moss Aethalometer 7wl,A7M,0.0
351613,2020-08-03 15:00:00,Dartford - St Clements 2,ZR4,20.9611603608334
360397,2020-08-03 15:00:00,Chichester - Westhampnett Road,CI5,42.8575883629581
369182,2020-08-03 15:00:00,Rother - Rye Harbour,RY1,80.3950432000215
377966,2020-08-03 15:00:00,City of London - Walbrook Wharf,CT6,32.2494430061437
386750,2020-08-03 15:00:00,Greenwich - Eltham,GR4,66.7500025053866
395534,2020-08-03 15:00:00,Sutton - Wallington,ST4,222.307963861306
404318,2020-08-03 15:00:00,Tower Hamlets - Mile End Road,TH2,67.7193927721022
413079,2020-08-03 15:00:00,Thurrock - London Road (Grays),TK1,68.5000050107732
421840,2020-08-03 15:00:00,Eastbourne - Holly Place,EB3,9.95
430601,2020-08-03 15:00:00,City of London - Upper Thames Street,CT8,18.2
439385,2020-08-03 15:00:00,Leicester - Abbey Lane,LC1,29.8147211228353
448169,2020-08-03 15:00:00,Sheffiled Tinsley,SF2,22.7809539632765
456930,2020-08-03 15:00:00,Wandsworth - Wandsworth Town Hall,WA2,86.43909476865
465714,2020-08-03 15:00:00,Chatham Roadside - A2,ZC1,25.64261640925
474475,2020-08-03 15:00:00,Barking and Dagenham - Rush Green,BG1,11.3888049629322
483259,2020-08-03 15:00:00,Hastings - Bulverhythe,HT1,46.88164
492043,2020-08-03 15:00:00,Havering - Rainham,HV1,6.07799234273557
