,Unnamed: 0,source,code,site,Address,la_id,Authority,site_type,os_grid_x,os_grid_y,latitude,longitude,OpeningDate,ClosingDate,end_year,start_year,geometry
128,129,kcl,GB6,Greenwich - Falconwood,Crown Woods Way,3,Bexley,Roadside,544997.0,175098.0,51.4563,0.085606,2000-10-18 10:15:00,,2024,2000,POINT (544997.0000435165 175098.0000825632)
19,20,kcl,BQ9,Bexley - Slade Green Fidas,"Whitehall Lane, Bexley ",3,Bexley,Suburban,551864.0,176379.0,51.4659832746662,0.184877126994369,2020-10-01 01:00:00,,2024,2020,POINT (551864.0000455774 176379.0000829462)
376,377,kcl,BX1,Bexley - Slade Green,"Whitehall Lane, Bexley ",3,Bexley,Suburban,551864.0,176379.0,51.4659832746662,0.184877126994369,1994-05-25 01:00:00,,2024,1994,POINT (551864.0000455774 176379.0000829462)
165,166,kcl,BX9,Bexley - Slade Green FDMS,"Whitehall Lane, Bexley ",3,Bexley,Suburban,551864.0,176379.0,51.4659832746662,0.184877126994369,2008-10-21 01:00:00,2020-10-01 01:00:00,2020,2008,POINT (551864.0000455774 176379.0000829462)
398,399,kcl,GN3,Greenwich - Plumstead High Street,Greenwich 13 - Plumstead High Street (A206),11,Greenwich,Roadside,545560.0,178526.0,51.486957,0.095111,2006-01-27,,2024,2006,POINT (545560.0000436854 178526.00008359045)
144,145,kcl,BX0,Bexley - Belvedere FDMS,"Belvedere Infants Sch, Mitchel Cl, Belvedere",3,Bexley,Suburban,549980.0,179064.0,51.4906102082147,0.158914493927518,2004-04-28 01:00:00,2022-01-28,2022,2004,POINT (549980.000045012 179064.0000837521)
377,378,kcl,BX2,Bexley - Belvedere,"Belvedere Infants Sch, Mitchel Cl, Belvedere",3,Bexley,Suburban,549980.0,179064.0,51.4906102082147,0.158914493927518,1998-01-24 15:00:00,,2024,1998,POINT (549980.000045012 179064.0000837521)
170,171,kcl,BQ8,Bexley - Belvedere West FDMS,"Harris Garrad Academy, Yanton Way, Erith",3,Bexley,Urban Background,548465.0,179469.0,51.4946486813055,0.137279111232178,2010-08-24 01:00:00,2022-02-23,2022,2010,POINT (548465.0000445573 179469.0000838742)
375,376,kcl,BQ7,Bexley - Belvedere West,"Harris Garrad Academy, Yanton Way, Erith",3,Bexley,Urban Background,548465.0,179469.0,51.4946486813055,0.137279111232178,2010-08-24 01:00:00,,2024,2010,POINT (548465.0000445573 179469.0000838742)
88,89,kcl,HV1,Havering - Rainham,"Brenda Blakemore Community Centre, Chandlers Corner, New Road (A13), Rainham",16,Havering,Roadside,553110.0,182516.0,51.520787459334,0.205460705694044,1995-12-08,,2024,1995,POINT (553110.0000459513 182516.0000847894)
